read_name	size	mapped_size	status
075732f4-b46a-4270-9e62-07b77a0f8b50	28528	24656	TOCHECK
f009fc78-a610-4cb8-a02d-77a46e0d814f	5452	5509	fully_mapped
e14930ec-74d8-4768-a022-ec8671bd5321	17942	18306	fully_mapped
352cf8e0-8633-4c9f-80ce-26e59747af53	10723	10740	fully_mapped
53c91a6a-8092-45c0-ae49-054cd5eca186	4017	4018	fully_mapped
7230ea1e-4f33-42b3-84fc-71ff6c83e301	4768	2784	TOCHECK
eb9a4c01-fbc4-42a2-805d-01ad6c1d9923	2594	2561	fully_mapped
7230ea1e-4f33-42b3-84fc-71ff6c83e301	4768	2526	TOCHECK
6c547eb4-7dc0-4ce4-a1cf-9fe16d6b8717	1171	1155	fully_mapped
794f5116-7eef-429f-bd1e-7a294f689974	1109	1093	fully_mapped
